id,gua_number,gua_name_ko,gua_name_hanja,yao_number,yao_position,original_text,original_meaning,direction,score,core_message,caution,timing,keywords,image_symbol,age_target,priority
"1-1",1,"건괘","乾",1,"초효(初九)","潛龍勿用","잠룡물용 - 숨은 용은 쓰지 말라","정체",40,"때를 기다리라, 인내의 시기","서두르지 말라","초반","[""잠재"",""인내"",""대기"",""숨김""]","땅속에 숨은 황금용","전연령","중"
"1-2",1,"건괘","乾",2,"이효(九二)","見龍在田,利見大人","견룡재전 이견대인 - 용이 밭에 나타나니 대인을 만남이 이롭다","상승",75,"귀인 등장, 기회 포착의 시기","과신 금지","중반","[""귀인"",""등장"",""기회"",""활동""]","들판 위 황금용","전연령","고"
"1-3",1,"건괘","乾",3,"삼효(九三)","君子終日乾乾,夕惕若厲,无咎","군자종일건건 - 군자가 종일 힘쓰고 저녁에도 경계하면 허물없다","상승",65,"부지런히 노력하되 경계를 늦추지 말라","태만하면 화가 된다","중반","[""부지런"",""경계"",""노력"",""위험""]","하늘 내려다보는 용","MZ","중"
"1-4",1,"건괘","乾",4,"사효(九四)","或躍在淵,无咎","혹약재연 무구 - 혹 뛰어 연못에 있으니 허물없다","정체",55,"도약의 기로, 신중한 선택 필요","무모한 도전 금물","중후반","[""도약"",""선택"",""고민"",""기로""]","심연 위 도약하는 용","MZ","중"
"1-5",1,"건괘","乾",5,"오효(九五)","飛龍在天,利見大人","비룡재천 이견대인 - 나는 용이 하늘에 있으니 대인을 만남이 이롭다","상승",95,"대길! 최고의 때, 뜻을 펼쳐라","교만 금물","후반","[""대길"",""최고"",""성공"",""비상""]","하늘 높이 나는 황금용","전연령","고"
"1-6",1,"건괘","乾",6,"상효(上九)","亢龍有悔","항룡유회 - 너무 높이 오른 용은 후회가 있다","하강",35,"정점에서 물러날 때를 알라","과욕은 후회를 부른다","후반","[""과욕"",""후회"",""하강"",""절정""]","하늘 높이 날다 추락하는 용","전연령","중"
"2-1",2,"곤괘","坤",1,"초효(初六)","履霜,堅冰至","이상 견빙지 - 서리를 밟으면 단단한 얼음이 이른다","정체",45,"작은 징조를 무시하지 말라","초기 경고를 간과하면 큰 화","초반","[""경고"",""징조"",""예방"",""차단""]","서리 밟고 얼음 오는 땅","MZ","중"
"2-2",2,"곤괘","坤",2,"이효(六二)","直方大,不習无不利","직방대 불습무불리 - 곧고 바르고 크니 익히지 않아도 이롭지 않음이 없다","상승",80,"순리대로 행하면 자연히 이롭다","억지로 하지 말라","중반","[""순리"",""자연"",""덕행"",""바름""]","넓고 곧은 대지","전연령","고"
"2-3",2,"곤괘","坤",3,"삼효(六三)","含章可貞,或從王事,无成有終","함장가정 - 아름다움을 품어 바르게 할 수 있다","정체",60,"실력을 숨기고 때를 기다려라","공을 취하려 들지 말라","중반","[""겸양"",""숨김"",""실력"",""때""]","땅속에 빛나는 보석","전연령","중"
"2-4",2,"곤괘","坤",4,"사효(六四)","括囊,无咎无譽","괄낭 무구무예 - 주머니를 묶으면 허물도 없고 명예도 없다","정체",50,"입을 다물고 행동을 삼가라","적극적 행동 자제","중반","[""신중"",""침묵"",""자제"",""보수""]","묶인 주머니","전연령","중"
"2-5",2,"곤괘","坤",5,"오효(六五)","黃裳,元吉","황상 원길 - 누런 치마니 크게 길하다","상승",85,"겸손하게 중심을 지키면 대길","자리에 맞게 처신하라","후반","[""겸손"",""중용"",""대길"",""중심""]","누런 옷을 입은 군자","전연령","고"
"2-6",2,"곤괘","坤",6,"상효(上六)","龍戰于野,其血玄黃","용전우야 - 용이 들에서 싸우니 피가 검고 누렇다","하강",25,"극단까지 가면 싸움이 일어난다","한계를 넘지 말라","후반","[""충돌"",""극단"",""싸움"",""피해""]","들판에서 싸우는 두 용","전연령","중"
"14-1",14,"대유괘","大有",1,"초효(初九)","无交害,匪咎,艱則无咎","무교해 비구 - 해로움과 사귀지 않으면 허물이 아니다","정체",55,"처음에는 신중하게 시작하라","성급한 관계 금물","초반","[""신중"",""시작"",""경계"",""조심""]","황금 창고 앞에 선 사람","전연령","중"
"14-2",14,"대유괘","大有",2,"이효(九二)","大車以載,有攸往,无咎","대거이재 - 큰 수레에 실어 가는 바가 있으니 허물없다","상승",75,"능력껏 큰 일을 맡아도 된다","과부하 주의","중반","[""능력"",""수용"",""전진"",""역량""]","물건 가득 실은 큰 수레","전연령","고"
"14-3",14,"대유괘","大有",3,"삼효(九三)","公用亨于天子,小人弗克","공용형우천자 - 제후가 천자에게 향연을 베푼다","상승",70,"윗사람과의 관계가 좋아진다","소인은 감당 못한다","중반","[""상하"",""관계"",""향연"",""인정""]","천자에게 선물 바치는 제후","전연령","중"
"14-4",14,"대유괘","大有",4,"사효(九四)","匪其彭,无咎","비기팽 무구 - 그 성함이 아니면 허물없다","정체",60,"지나치게 드러내지 말라","과시 금물","중반","[""절제"",""겸손"",""자제"",""균형""]","빛을 감춘 태양","MZ","중"
"14-5",14,"대유괘","大有",5,"오효(六五)","厥孚交如,威如,吉","궐부교여 위여 길 - 그 믿음이 서로 통하고 위엄이 있으니 길하다","상승",90,"진심으로 대하면 위엄이 생긴다","허세 부리지 말라","후반","[""신뢰"",""위엄"",""진심"",""길""]","사람들에게 둘러싸인 지도자","전연령","고"
"14-6",14,"대유괘","大有",6,"상효(上九)","自天祐之,吉无不利","자천우지 길무불리 - 하늘이 스스로 돕나니 길하고 이롭지 않음이 없다","상승",98,"하늘이 돕는다, 최고의 대길","겸손을 잃지 말라","후반","[""천우신조"",""대길"",""순조"",""겸손""]","태양이 하늘 위에 빛남","전연령","고"
